Comparison,PCA_Num,PCA Stage,Model,Accuracy_Mean,Accuracy_Std,Accuracy_95CI_Low,Accuracy_95CI_High,AUC_Mean,AUC_Std,AUC_95CI_Low,AUC_95CI_High,Sensitivity_Mean,Sensitivity_Std,Sensitivity_95CI_Low,Sensitivity_95CI_High,Specificity_Mean,Specificity_Std,Specificity_95CI_Low,Specificity_95CI_High,F1-score_Mean,F1-score_Std,F1-score_95CI_Low,F1-score_95CI_High,Mean_TP,Mean_TN,Mean_FP,Mean_FN
NC vs MCI,100,Before Scaling,LR (L1),0.6795180722891565,0.03982287682177932,0.6300714398346499,0.7289647047436631,0.7368205918992439,0.03404113074762892,0.6945529453917658,0.7790882384067219,0.6879449330269002,0.06704163872221221,0.6047017438449457,0.7711881222088547,0.6784573932161053,0.06759281253647703,0.5945298313522256,0.762384955079985,0.6266768032339645,0.039589304641730244,0.5775201889464068,0.6758334175215222,44.6,68.2,32.6,20.6
NC vs MCI,100,Before Scaling,LR (L2),0.6686746987951807,0.03042019559747614,0.6309030371034778,0.7064463604868836,0.7294085620006163,0.0340898803104957,0.6870803849159983,0.7717367390852343,0.6526201667185274,0.05162105483085378,0.5885241613857537,0.7167161720513011,0.6828130799537884,0.05458941675177871,0.6150313664901632,0.7505947934174135,0.6061237327320703,0.03925049529320979,0.5573878058148254,0.6548596596493153,42.4,68.6,32.2,22.8
NC vs MCI,100,Before Scaling,LR (ElasticNet),0.680722891566265,0.04063475169648204,0.6302681833087938,0.7311775998237362,0.7342158049541485,0.03400694452086648,0.6919906062536758,0.7764410036546212,0.6390193231176837,0.07514120581337227,0.5457191930775998,0.7323194531577677,0.7117681103565053,0.06415681810210218,0.6321068990798173,0.7914293216331934,0.6098364960019096,0.043346267848233,0.5560149957582612,0.663657996245558,41.4,71.6,29.2,23.8
NC vs MCI,100,Before Scaling,SVM (Linear),0.6759036144578314,0.030240723850629255,0.6383547963728831,0.7134524325427798,0.7288978070831025,0.024851649191927772,0.698040408985496,0.7597552051807089,0.6342654431179021,0.08332610694459358,0.5308024160143234,0.7377284702214808,0.7065260162342716,0.053810240008435976,0.6397117784810927,0.7733402539874504,0.6032763518329431,0.05044968981404027,0.5406347882703021,0.6659179153955842,41.2,71.0,29.8,24.0
NC vs MCI,100,Before Scaling,SVM (RBF),0.6831325301204819,0.032608117114998475,0.6426442050495762,0.7236208551913876,0.7382121844107525,0.028839393044830495,0.7024033483369384,0.7740210204845667,0.6045507134031725,0.053126521246225945,0.5385854246219262,0.6705160021844188,0.7395928608605546,0.09030582922814566,0.6274633638800288,0.8517223578410805,0.5987708914092235,0.02773025556236936,0.5643392314164397,0.6332025514020072,39.2,74.2,26.6,26.0
NC vs MCI,100,Before Scaling,SVM (Poly d2),0.608433734939759,0.04259679404738238,0.5555428293322239,0.6613246405472942,0.3646267298501722,0.031884722966033174,0.325036617250548,0.4042168424497964,0.006612021857923497,0.009054399118128546,-0.004630499552424653,0.01785454326827165,0.9980952380952381,0.004259177099999584,0.9928067712281947,1.0033837049622816,0.012906583398386679,0.017676898063930965,-0.009042184527514261,0.03485535132428762,0.4,100.6,0.2,64.8
NC vs MCI,100,Before Scaling,SVM (Sigmoid),0.7000000000000001,0.016716189066881448,0.6792441098484859,0.7207558901515142,0.7294002548887679,0.029736534577352227,0.6924774704727282,0.7663230393048076,0.4931302395236822,0.059722534523589534,0.4189749185242595,0.5672855605231049,0.837585702190206,0.0556889186055757,0.7684387768587627,0.9067326275216493,0.561202476180205,0.034267598061421135,0.5186536333624212,0.6037513189979888,32.0,84.2,16.6,33.2
NC vs MCI,100,After Scaling,LR (L1),0.6927710843373495,0.06202186831919883,0.6157607633440655,0.7697814053306334,0.7581364930733553,0.040844204652434116,0.7074217146211611,0.8088512715255495,0.676413895758158,0.05622564403401024,0.6066005377853071,0.746227253731009,0.7063383690708427,0.09248066280038754,0.5915084595415792,0.8211682786001062,0.6340623247616759,0.06259337195908891,0.556342388273898,0.7117822612494538,44.0,71.0,29.8,21.2
NC vs MCI,100,After Scaling,LR (L2),0.6879518072289156,0.04712676437495891,0.6294362005526972,0.7464674139051339,0.7351417258950761,0.04365224779754085,0.6809403013641999,0.7893431504259523,0.6651232192215799,0.055510745668886884,0.5961975248110774,0.7340489136320825,0.7062673272926011,0.06835199972216018,0.621397110032361,0.7911375445528412,0.6255475676631621,0.05136329804140936,0.561771609656134,0.6893235256701902,43.2,71.0,29.8,22.0
NC vs MCI,100,After Scaling,LR (ElasticNet),0.6987951807228916,0.06098932750396562,0.6230669284865586,0.7745234329592245,0.7518352512797326,0.04433232395405374,0.6967894006692776,0.8068811018901876,0.6459501700485307,0.058825871073717576,0.5729082037733193,0.7189921363237421,0.7359369442907465,0.08299008874525123,0.6328911388880325,0.8389827496934605,0.6278011220476701,0.06554321739691174,0.5464184686794821,0.7091837754158582,42.0,74.0,26.8,23.2
